Borough,Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
Manhattan,2018-19,147509,596,8159,8232,8392,8333,8666,8795,8477,8487,8383,8521,16426,16180,14720,15142,74341,0.503976047039032,73167,0.496017187833786,,,20391,0.13823562860488892,26976,0.18287697434425354,65168,0.44178998470306396,3833,0.025984855368733406,884,0.005992854479700327,29065,0.19703882932662964,1192,0.0080808624625206,31699,0.2148953676223755,16011,0.1085425317287445,94010,0.6373170614242554,0.6381791830062866
Manhattan,2019-20,148773,2780,8201,8231,8003,8145,8184,8414,8475,8238,8421,8494,16152,15798,14401,16836,75049,0.5044531226158142,73724,0.4955469071865082,,,20533,0.13801562786102295,26694,0.17942771315574646,65026,0.4370819926261902,4121,0.027699919417500496,902,0.00606292812153697,29549,0.19861802458763123,1948,0.013093773275613785,31993,0.2150457352399826,14839,0.09974256157875061,93565,0.6289111375808716,0.6489822864532471
Manhattan,2020-21,140800,2510,7115,7251,7381,7343,7483,7625,7829,7952,7976,8395,15802,15840,14530,15768,70991,0.5041974186897278,69809,0.49580255150794983,,,19879,0.14118607342243195,24856,0.17653408646583557,61988,0.44025567173957825,4223,0.02999289706349373,855,0.006072442978620529,27171,0.19297584891319275,1828,0.012982954271137714,31030,0.22038352489471436,14597,0.10367187857627869,89474,0.6354687213897705,0.6461879014968872
Manhattan,2021-22,133158,3839,6241,6784,6817,6760,6791,6915,7078,7222,7496,7767,14801,15093,14292,15262,67425,0.5063533782958984,65733,0.49364665150642395,,,18745,0.14077261090278625,23627,0.17743583023548126,58801,0.4415881931781769,4109,0.030858078971505165,865,0.006496042478829622,25509,0.19156941771507263,1502,0.011279832571744919,29908,0.22460535168647766,14042,0.10545367002487183,83497,0.6270520687103271,0.6340059638023376
Manhattan,2022-23,129942,4083,6312,6641,6718,6709,6621,6677,6797,6651,7151,7496,14670,14618,13687,15111,65501,0.50407874584198,64412,0.49569809436798096,29,0.00022317649563774467,17841,0.13729971647262573,22415,0.17250004410743713,56866,0.4376260042190552,4229,0.032545290887355804,797,0.00613350560888648,24783,0.19072355329990387,3011,0.02317187748849392,29062,0.2236536294221878,13832,0.1064474955201149,81330,0.6258946061134338,0.6406099200248718
Queens,2018-19,296868,985,20487,20649,21101,21037,21217,21577,21769,21888,21173,21121,22796,24036,18131,18901,142098,0.47865718603134155,154770,0.5213428139686584,,,86084,0.28997400403022766,48648,0.16387081146240234,113830,0.3834364116191864,3045,0.010257083922624588,5912,0.019914574921131134,38084,0.1282859742641449,1265,0.004261153284460306,53217,0.1792614907026291,43201,0.1455225944519043,211059,0.7109523415565491,0.6533717513084412
Queens,2019-20,294043,3279,20172,20300,20473,20702,20565,20859,21033,21216,21762,21246,22572,23670,18022,18172,140870,0.47907960414886475,153173,0.5209203958511353,,,85169,0.2896481156349182,46431,0.1579054743051529,113965,0.38757938146591187,3283,0.011165034025907516,6041,0.020544614642858505,37360,0.12705624103546143,1794,0.006101148668676615,52790,0.17953155934810638,41558,0.14133307337760925,209461,0.712348222732544,0.6733905673027039
Queens,2020-21,281866,2717,18213,18649,19435,19529,19799,19826,20025,20226,20788,21439,21119,23595,18054,18452,135252,0.4798450469970703,146614,0.5201549530029297,,,82965,0.2943419814109802,43391,0.15394194424152374,109309,0.3878048360347748,3533,0.012534325011074543,5842,0.0207261610776186,35180,0.1248110830783844,1646,0.005839654244482517,51727,0.18351627886295319,43438,0.1541086882352829,201129,0.7135624885559082,0.6690336465835571
Queens,2021-22,274186,10317,17073,17913,18070,18251,18549,18885,18712,18944,19360,20285,21028,21050,17685,18064,131618,0.4800317883491516,142568,0.5199682116508484,,,79867,0.2912876605987549,40796,0.14878951013088226,108796,0.3967963457107544,3699,0.01349084172397852,5645,0.020588213577866554,33431,0.12192817777395248,1952,0.007119254674762487,50556,0.1843857765197754,44793,0.16336719691753387,188570,0.6877447962760925,0.640625
Queens,2022-23,274177,12389,17846,17448,18051,17850,18157,18412,18672,18531,18927,19429,20977,22029,17458,18001,131536,0.4797484874725342,142621,0.5201785564422607,20,7.294557872228324E-05,78067,0.2847321331501007,39576,0.14434471726417542,110421,0.40273618698120117,4098,0.014946549199521542,5841,0.021303756162524223,32783,0.11956874281167984,3391,0.012367922812700272,49776,0.18154695630073547,46491,0.16956564784049988,189401,0.690798282623291,0.6601318717002869
"Staten Island",2018-19,64251,0,4164,4370,4658,4707,4703,4686,4764,4512,4488,4323,4891,4765,4694,4526,31087,0.483836829662323,33164,0.516163170337677,,,7030,0.10941463708877563,8227,0.12804469466209412,18505,0.2880110740661621,1002,0.0155950877815485,301,0.004684751853346825,28863,0.449222594499588,323,0.005027159117162228,17233,0.2682137191295624,4125,0.06420133262872696,37672,0.5863255262374878,0.5324529409408569
"Staten Island",2019-20,66086,2362,3949,4417,4384,4640,4659,4738,4629,4493,4553,4487,4990,4799,4585,4401,31852,0.48197802901268005,34234,0.5180220007896423,,,7963,0.12049450725317001,8177,0.12373270839452744,19185,0.2903035581111908,1140,0.017250249162316322,314,0.004751384723931551,29105,0.4404109716415405,202,0.003056623274460435,17498,0.26477620005607605,4152,0.0628272220492363,38341,0.5801682472229004,0.5520909428596497
"Staten Island",2020-21,65155,2401,3791,4160,4369,4309,4568,4624,4650,4429,4471,4579,4893,4806,4666,4439,31376,0.4815593659877777,33779,0.5184406638145447,,,8368,0.12843219935894012,8047,0.12350548803806305,18966,0.2910904884338379,1178,0.018079962581396103,310,0.00475788488984108,27982,0.42946818470954895,304,0.004665797110646963,17284,0.26527512073516846,4584,0.07035530358552933,38051,0.5840073823928833,0.5492377281188965
"Staten Island",2021-22,63934,2645,3793,4094,4211,4263,4203,4479,4554,4250,4407,4429,4818,4738,4778,4272,30755,0.4810429513454437,33179,0.5189570784568787,,,9345,0.1461663544178009,7767,0.1214846596121788,18641,0.29156631231307983,1213,0.018972691148519516,299,0.00467669777572155,26386,0.4127068519592285,283,0.004426439758390188,17074,0.2670566439628601,4850,0.07585947960615158,37742,0.5903275012969971,0.5487215518951416
"Staten Island",2022-23,63552,2867,3778,4045,4209,4253,4281,4188,4540,4317,4295,4394,4545,4766,4608,4466,30542,0.4805828332901001,33005,0.5193384885787964,5,7.867573003750294E-05,10382,0.1633622795343399,7377,0.11607817560434341,18515,0.2913362383842468,1229,0.019338494166731834,285,0.004484516568481922,25203,0.39657288789749146,561,0.00882741715759039,16897,0.26587677001953125,5100,0.08024924248456955,38326,0.6030651926994324,0.5672208070755005
