Borough,Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
Manhattan,2018-19,177512,596,8326,10988,11241,11123,11168,11228,10986,11320,11018,10891,18459,17872,16130,16166,89756,0.5056334137916565,87755,0.49436095356941223,,,21071,0.11870183795690536,40507,0.2281930297613144,79171,0.44600364565849304,4143,0.023339267820119858,1290,0.007267114240676165,30084,0.16947586834430695,1246,0.00701924366876483,38063,0.21442493796348572,18102,0.10197620093822479,118397,0.6669802665710449,0.664506733417511
Manhattan,2019-20,180636,2780,8421,11015,10884,11024,10964,10931,11021,11162,11267,11078,18339,17737,15948,18065,91347,0.5056965351104736,89289,0.49430346488952637,,,21308,0.11796098202466965,40967,0.226793110370636,79931,0.4424976110458374,4476,0.02477911300957203,1307,0.007235545665025711,30643,0.1696394979953766,2004,0.01109413430094719,38878,0.21522840857505798,17095,0.09463783353567123,119314,0.6605216860771179,0.6789629459381104
Manhattan,2020-21,173851,2510,7360,10037,10249,10229,10413,10440,10395,10827,10854,11166,18041,17884,16250,17196,87846,0.5052947402000427,86005,0.4947052299976349,,,20759,0.11940684914588928,39296,0.22603264451026917,77613,0.44643402099609375,4635,0.02666076086461544,1314,0.007558196317404509,28327,0.16293837130069733,1907,0.010969162918627262,38222,0.219854936003685,17138,0.09857866913080215,116625,0.6708330512046814,0.67930668592453
Manhattan,2021-22,164841,3839,6546,9241,9429,9463,9442,9623,9713,9969,10221,10517,17007,17095,15991,16745,83537,0.5067731738090515,81304,0.4932267963886261,,,19685,0.11941810697317123,37339,0.2265152484178543,73779,0.44757676124572754,4603,0.02792387828230858,1262,0.007655862253159285,26588,0.1612948179244995,1585,0.009615326300263405,36881,0.22373680770397186,16920,0.10264436900615692,109350,0.6633664965629578,0.6694408059120178
Manhattan,2022-23,160181,4083,6791,8799,9087,9197,9199,9116,9398,9425,9770,10041,16668,16630,15397,16580,80850,0.5047414898872375,79298,0.4950524866580963,33,0.00020601694996003062,18786,0.11727982759475708,35277,0.22023211419582367,71406,0.44578319787979126,4717,0.02944793738424778,1104,0.006892203353345394,25799,0.16106155514717102,3092,0.01930316351354122,35649,0.22255448997020721,16590,0.10357033461332321,106249,0.6633058786392212,0.6757088303565979
Queens,2018-19,307114,985,20624,21936,22376,22254,22381,22540,22846,22748,21884,21801,23084,24310,18298,19047,147355,0.4798055589199066,159759,0.5201944708824158,,,86907,0.2829796075820923,53718,0.1749122440814972,116969,0.38086509704589844,3198,0.010413071140646935,6034,0.019647426903247833,39007,0.1270114630460739,1281,0.004171089734882116,54805,0.17845165729522705,43773,0.14253012835979462,218554,0.7116380333900452,0.651589572429657
Queens,2019-20,305623,3279,20279,21717,21874,22006,21774,22039,22332,22283,22601,21918,22989,23928,18260,18344,146795,0.4803139865398407,158828,0.5196860432624817,,,86094,0.2817000150680542,52190,0.1707659363746643,117619,0.3848499655723572,3444,0.01126878522336483,6195,0.020270071923732758,38270,0.12521962821483612,1811,0.005925601348280907,54520,0.17838971316814423,42266,0.13829456269741058,217708,0.7123416662216187,0.6719750761985779
Queens,2020-21,294923,2717,18296,20166,20946,20961,21154,21104,21463,21583,21841,22246,21526,23957,18287,18676,141856,0.4809933304786682,153067,0.5190066695213318,,,84062,0.285030335187912,49714,0.168566033244133,113584,0.38513103127479553,3752,0.012721965089440346,6027,0.020435841754078865,36122,0.12247942388057709,1662,0.005635369103401899,53629,0.1818406879901886,44372,0.15045283734798431,210582,0.7140236496925354,0.6681104302406311
Queens,2021-22,288060,10317,17168,19426,19598,19733,19960,20185,20201,20367,20637,21270,21489,21419,17994,18296,138650,0.48132333159446716,149410,0.5186766386032104,,,81037,0.28131985664367676,47430,0.16465319693088531,113508,0.3940429091453552,3941,0.013681177981197834,5847,0.020297855138778687,34321,0.11914531886577606,1976,0.006859682034701109,52636,0.18272581696510315,45989,0.1596507728099823,198517,0.6891515851020813,0.6412075757980347
Queens,2022-23,289283,12389,17954,19100,19801,19496,19676,19818,20217,20045,20308,20653,21341,22431,17800,18254,139241,0.4813314378261566,150022,0.5185994505882263,20,6.91364475642331E-05,79338,0.2742573916912079,46603,0.16109830141067505,115800,0.4003000557422638,4354,0.015051005408167839,6062,0.02095525898039341,33698,0.1164880096912384,3428,0.01184998732060194,52025,0.17984119057655334,47958,0.16578230261802673,200244,0.6922079920768738,0.661099374294281
"Staten Island",2018-19,65623,0,4164,4370,4658,4707,4779,4755,4879,4772,4716,4560,5000,4864,4809,4590,31756,0.48391568660736084,33867,0.5160843133926392,,,7056,0.10752327740192413,8684,0.13233165442943573,19214,0.2927936911582947,1024,0.015604285523295403,311,0.004739191848784685,29011,0.442085862159729,323,0.004922054708003998,17696,0.269661545753479,4207,0.06410861760377884,38749,0.5904789566993713,0.5367453694343567
"Staten Island",2019-20,67829,2362,3949,4528,4501,4691,4740,4803,4772,4733,4796,4730,5090,4949,4694,4491,32732,0.4825664460659027,35097,0.5174335241317749,,,7992,0.1178257092833519,8743,0.12889766693115234,20074,0.29595011472702026,1164,0.017160801216959953,327,0.004820946604013443,29322,0.43229296803474426,207,0.003051792038604617,18079,0.2665379047393799,4256,0.06274602562189102,39745,0.5859587788581848,0.5574355125427246
"Staten Island",2020-21,67235,2401,3809,4345,4532,4481,4680,4702,4795,4665,4699,4827,5011,4954,4807,4527,32433,0.4823826849460602,34802,0.5176172852516174,,,8405,0.12500929832458496,8703,0.1294415146112442,19983,0.29721125960350037,1216,0.018085818737745285,328,0.0048784115351736546,28275,0.42053988575935364,325,0.004833791870623827,17996,0.26765820384025574,4726,0.07029077410697937,39686,0.5902580618858337,0.5551058053970337
"Staten Island",2021-22,66377,2645,3811,4285,4438,4454,4408,4610,4675,4591,4620,4676,4950,4872,4909,4433,31989,0.4819289743900299,34388,0.5180709958076477,,,9402,0.14164544641971588,8519,0.1283426433801651,19802,0.2983262240886688,1257,0.018937282264232635,314,0.004730554297566414,26779,0.40343794226646423,304,0.004579899832606316,17914,0.2698826491832733,5011,0.07549301534891129,39565,0.5960649251937866,0.5549262762069702
"Staten Island",2022-23,66479,2867,3796,4295,4480,4507,4519,4411,4722,4665,4637,4628,4701,4908,4742,4601,32009,0.4814904034137726,34465,0.5184344053268433,5,7.521171937696636E-05,10478,0.15761367976665497,8307,0.12495675683021545,19816,0.29807910323143005,1287,0.019359497353434563,303,0.004557830281555653,25710,0.386738657951355,578,0.008694474585354328,17848,0.2684757709503174,5292,0.07960408180952072,40520,0.6095157861709595,0.5737041234970093
