DBN,School Name,Year,% English Language Learners
01M458,Forsyth Satellite Academy,2022-23,0.10062892735004425
01M515,Lower East Side Preparatory High School,2018-19,0.7182320356369019
01M515,Lower East Side Preparatory High School,2019-20,0.7043314576148987
01M515,Lower East Side Preparatory High School,2020-21,0.7422037124633789
01M515,Lower East Side Preparatory High School,2021-22,0.704741358757019
01M515,Lower East Side Preparatory High School,2022-23,0.7161862254142761
01M539,"New Explorations into Science, Technology and Math",2018-19,0.015963511541485786
01M539,"New Explorations into Science, Technology and Math",2019-20,0.012735326774418354
01M539,"New Explorations into Science, Technology and Math",2020-21,0.018983807414770126
01M539,"New Explorations into Science, Technology and Math",2021-22,0.015853658318519592
01M539,"New Explorations into Science, Technology and Math",2022-23,0.009828009642660618
01M650,Cascades High School,2018-19,0.02139037474989891
01M650,Cascades High School,2019-20,0.0416666679084301
01M650,Cascades High School,2020-21,0.07784431427717209
01M650,Cascades High School,2021-22,0.07194244861602783
01M650,Cascades High School,2022-23,0.0793650820851326
01M696,Bard High School Early College,2018-19,0.00162601622287184
01M696,Bard High School Early College,2019-20,0
01M696,Bard High School Early College,2020-21,0
01M696,Bard High School Early College,2021-22,0.0032573288772255182
01M696,Bard High School Early College,2022-23,0.003539822995662689
01M839,Tompkins Square Middle School,2018-19,0.019337017089128494
01M839,Tompkins Square Middle School,2019-20,0.016759777441620827
01M839,Tompkins Square Middle School,2020-21,0.04237288236618042
01M839,Tompkins Square Middle School,2021-22,0.04658384993672371
01M839,Tompkins Square Middle School,2022-23,0.04984423518180847
02M001,P.S. 001 Alfred E. Smith,2018-19,0.18983051180839539
02M001,P.S. 001 Alfred E. Smith,2019-20,0.19838055968284607
02M001,P.S. 001 Alfred E. Smith,2020-21,0.20600858330726624
02M001,P.S. 001 Alfred E. Smith,2021-22,0.1780821979045868
02M001,P.S. 001 Alfred E. Smith,2022-23,0.21243523061275482
02M002,P.S. 002 Meyer London,2018-19,0.31677019596099854
02M002,P.S. 002 Meyer London,2019-20,0.320712685585022
02M002,P.S. 002 Meyer London,2020-21,0.30166271328926086
02M002,P.S. 002 Meyer London,2021-22,0.31564244627952576
02M002,P.S. 002 Meyer London,2022-23,0.2522796392440796
02M003,P.S. 003 Charrette School,2018-19,0.04377565160393715
02M003,P.S. 003 Charrette School,2019-20,0.032212886959314346
02M003,P.S. 003 Charrette School,2020-21,0.03166666626930237
02M003,P.S. 003 Charrette School,2021-22,0.04736842215061188
02M003,P.S. 003 Charrette School,2022-23,0.05534351244568825
02M006,P.S. 006 Lillie D. Blake,2018-19,0.032786883413791656
02M006,P.S. 006 Lillie D. Blake,2019-20,0.021604938432574272
02M006,P.S. 006 Lillie D. Blake,2020-21,0.037162162363529205
02M006,P.S. 006 Lillie D. Blake,2021-22,0.033158812671899796
02M006,P.S. 006 Lillie D. Blake,2022-23,0.03911564499139786
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2018-19,0.03265765681862831
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2019-20,0.02666666731238365
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2020-21,0.02977667562663555
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2021-22,0.02872776985168457
02M011,P.S. 011: The Sarah J. Garnet Elementary School,2022-23,0.1146245077252388
02M033,P.S. 033 Chelsea Prep,2018-19,0.06012658402323723
02M033,P.S. 033 Chelsea Prep,2019-20,0.07352941483259201
02M033,P.S. 033 Chelsea Prep,2020-21,0.06306306272745132
02M033,P.S. 033 Chelsea Prep,2021-22,0.06078431382775307
02M033,P.S. 033 Chelsea Prep,2022-23,0.13475176692008972
02M040,P.S. 040 Augustus Saint-Gaudens,2018-19,0.025423727929592133
02M040,P.S. 040 Augustus Saint-Gaudens,2019-20,0.025714285671710968
02M040,P.S. 040 Augustus Saint-Gaudens,2020-21,0.020504731684923172
02M040,P.S. 040 Augustus Saint-Gaudens,2021-22,0.016778523102402687
02M040,P.S. 040 Augustus Saint-Gaudens,2022-23,0.022336769849061966
02M041,P.S. 041 Greenwich Village,2018-19,0.015850143507122993
02M041,P.S. 041 Greenwich Village,2019-20,0.01646706648170948
02M041,P.S. 041 Greenwich Village,2020-21,0.01876172609627247
02M041,P.S. 041 Greenwich Village,2021-22,0.018218623474240303
02M041,P.S. 041 Greenwich Village,2022-23,0.026915114372968674
02M042,P.S. 042 Benjamin Altman,2018-19,0.32578396797180176
02M042,P.S. 042 Benjamin Altman,2019-20,0.23877917230129242
02M042,P.S. 042 Benjamin Altman,2020-21,0.25878003239631653
02M042,P.S. 042 Benjamin Altman,2021-22,0.22285714745521545
02M042,P.S. 042 Benjamin Altman,2022-23,0.20041322708129883
02M047,47 The American Sign Language and English Secondar,2018-19,0.04591836780309677
02M047,47 The American Sign Language and English Secondar,2019-20,0.047413792461156845
