Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
2018-19,1126501,3314,70590,78627,81908,81205,81706,82510,82044,81289,78451,77748,88773,88074,73517,76745,547203,0.4857545495033264,579296,0.5142436623573303,,,182776,0.1622510701417923,286775,0.25457146763801575,456980,0.4056631922721863,13032,0.011568564921617508,12694,0.01126852072775364,169583,0.1505395919084549,4661,0.004137590527534485,234497,0.2081640362739563,148815,0.13210374116897583,834003,0.740348219871521,0.7126237750053406
2019-20,1131868,17586,69894,78587,79171,80298,79555,80287,81513,80250,80638,78247,88990,86802,73455,76595,550364,0.48624399304389954,581504,0.5137560367584229,,,184160,0.1627044826745987,282308,0.24941778182983398,459897,0.4063168168067932,14293,0.012627797201275826,12856,0.011358214542269707,170370,0.15052108466625214,7984,0.007053826004266739,234132,0.20685450732707977,142420,0.1258273869752884,834657,0.7374154925346375,0.7284076809883118
2020-21,1094138,15480,60501,72265,76037,75904,77237,77034,77979,78763,78698,79616,85580,87748,74939,76357,531848,0.4860886037349701,562290,0.5139114260673523,,,180612,0.16507241129875183,270540,0.24726314842700958,445905,0.4075399935245514,15724,0.014371130615472794,12706,0.011612794362008572,161451,0.1475600004196167,7200,0.006580522749572992,230688,0.21083994209766388,146543,0.13393466174602509,810513,0.7407776713371277,0.7239433526992798
2021-22,1058888,34740,57315,68828,70546,71053,71455,72779,72938,73298,74852,76084,84553,81620,73618,75209,515183,0.4865320920944214,543705,0.5134679079055786,,,175340,0.16558881103992462,258437,0.24406452476978302,434852,0.4106685519218445,16126,0.015229184180498123,12271,0.011588572524487972,155330,0.14669162034988403,6532,0.006168735679239035,224683,0.21218769252300262,146874,0.13870589435100555,766560,0.723929226398468,0.7047561407089233
2022-23,1047895,39821,59255,67276,69985,69558,69921,70205,71942,71288,72505,74478,82648,83039,71827,74147,509768,0.4864685833454132,538019,0.5134283304214478,108,0.00010306375770596787,172882,0.16498027741909027,248228,0.2368825078010559,430178,0.41051632165908813,16972,0.016196278855204582,12331,0.011767400428652763,154418,0.1473601907491684,12886,0.012297033332288265,219244,0.20922325551509857,147922,0.14116108417510986,762520,0.7276683449745178,0.7175636291503906
