DBN,School Name,Grade,Year,% Level 3+4
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2022,6.666666508
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2022,11.76470566
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2022,40
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2022,15
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2022,23.33333397
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2022,21.85430527
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2019,22.22222137
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2019,25.64102554
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2019,14.70588207
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2019,31.57894707
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2019,2.702702761
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2019,28.125
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2019,20.7070713
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2018,25.64102554
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2018,18.75
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2018,22.22222137
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2018,24.24242401
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2018,22.58064461
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2018,38.46154022
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2018,26.63551331
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2017,34.61538315
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2017,12
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2017,17.857143399999998
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2017,13.33333302
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2017,24.07407379
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2017,45.45454407
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2017,27.06422043
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2016,44.44444275
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2016,20
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2016,17.24137878
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2016,20.37037086
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2016,27.27272797
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2016,38.29787064
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2016,27.53036499
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2015,36.66666794
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2015,16.66666603
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2015,22.857143399999998
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2015,18.51851845
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2015,30.95238113
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2015,37.5
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2015,27.53036499
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2014,9.375
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2014,21.62162209
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2014,16.66666603
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2014,24.39024353
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2014,22.80701828
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2014,20
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2014,19.69696999
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,3,2013,28.94736862
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,4,2013,23.91304398
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,5,2013,10
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,2013,14.28571415
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,7,2013,4.347826004
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,2013,13.95348835
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,All Grades,2013,15.83011627
01M063,THE STAR ACADEMY - P.S.63,3,2023,26.66666603
01M063,THE STAR ACADEMY - P.S.63,4,2023,75
01M063,THE STAR ACADEMY - P.S.63,5,2023,22.22222137
01M063,THE STAR ACADEMY - P.S.63,All Grades,2023,45
01M063,THE STAR ACADEMY - P.S.63,3,2022,41.17647171
01M063,THE STAR ACADEMY - P.S.63,4,2022,s
01M063,THE STAR ACADEMY - P.S.63,5,2022,23.07692337
01M063,THE STAR ACADEMY - P.S.63,All Grades,2022,s
01M063,THE STAR ACADEMY - P.S.63,3,2019,46.875
01M063,THE STAR ACADEMY - P.S.63,4,2019,37.5
01M063,THE STAR ACADEMY - P.S.63,5,2019,47.82608795
01M063,THE STAR ACADEMY - P.S.63,All Grades,2019,44.30379868
01M063,THE STAR ACADEMY - P.S.63,3,2018,47.36841965
01M063,THE STAR ACADEMY - P.S.63,4,2018,69.56521606
01M063,THE STAR ACADEMY - P.S.63,5,2018,54.54545593
01M063,THE STAR ACADEMY - P.S.63,All Grades,2018,57.8125
01M063,THE STAR ACADEMY - P.S.63,3,2017,53.84615326
01M063,THE STAR ACADEMY - P.S.63,4,2017,68.42105103
01M063,THE STAR ACADEMY - P.S.63,5,2017,66.66666412
01M063,THE STAR ACADEMY - P.S.63,All Grades,2017,61.90476227
01M063,THE STAR ACADEMY - P.S.63,3,2016,57.1428566
01M063,THE STAR ACADEMY - P.S.63,4,2016,33.33333206
01M063,THE STAR ACADEMY - P.S.63,5,2016,33.33333206
01M063,THE STAR ACADEMY - P.S.63,All Grades,2016,43.75
01M063,THE STAR ACADEMY - P.S.63,3,2015,41.17647171
01M063,THE STAR ACADEMY - P.S.63,4,2015,23.07692337
01M063,THE STAR ACADEMY - P.S.63,5,2015,20
01M063,THE STAR ACADEMY - P.S.63,All Grades,2015,28
01M063,THE STAR ACADEMY - P.S.63,3,2014,29.41176414
01M063,THE STAR ACADEMY - P.S.63,4,2014,17.64705849
01M063,THE STAR ACADEMY - P.S.63,5,2014,17.64705849
01M063,THE STAR ACADEMY - P.S.63,All Grades,2014,21.56862831
01M063,THE STAR ACADEMY - P.S.63,3,2013,15.78947353
01M063,THE STAR ACADEMY - P.S.63,4,2013,9.523809433
01M063,THE STAR ACADEMY - P.S.63,5,2013,18.18181801
01M063,THE STAR ACADEMY - P.S.63,All Grades,2013,14.51612949
01M064,P.S. 064 ROBERT SIMON,3,2023,66.66666412
01M064,P.S. 064 ROBERT SIMON,4,2023,27.58620644
01M064,P.S. 064 ROBERT SIMON,5,2023,39.39393997
01M064,P.S. 064 ROBERT SIMON,All Grades,2023,40.25973892
01M064,P.S. 064 ROBERT SIMON,3,2022,12.9032259
01M064,P.S. 064 ROBERT SIMON,4,2022,20.6896553
01M064,P.S. 064 ROBERT SIMON,5,2022,28.5714283
01M064,P.S. 064 ROBERT SIMON,All Grades,2022,21.05263138
01M064,P.S. 064 ROBERT SIMON,3,2019,69.2307663
01M064,P.S. 064 ROBERT SIMON,4,2019,50
01M064,P.S. 064 ROBERT SIMON,5,2019,31.03448296
01M064,P.S. 064 ROBERT SIMON,All Grades,2019,49.38271713
01M064,P.S. 064 ROBERT SIMON,3,2018,26.92307663
01M064,P.S. 064 ROBERT SIMON,4,2018,57.1428566
01M064,P.S. 064 ROBERT SIMON,5,2018,15.625
01M064,P.S. 064 ROBERT SIMON,All Grades,2018,32.5581398
01M064,P.S. 064 ROBERT SIMON,3,2017,33.33333206
01M064,P.S. 064 ROBERT SIMON,4,2017,24.13793182
01M064,P.S. 064 ROBERT SIMON,5,2017,30.2325573
01M064,P.S. 064 ROBERT SIMON,All Grades,2017,29.2929287
01M064,P.S. 064 ROBERT SIMON,3,2016,20.6896553
01M064,P.S. 064 ROBERT SIMON,4,2016,22.5
01M064,P.S. 064 ROBERT SIMON,5,2016,19.04761887
01M064,P.S. 064 ROBERT SIMON,All Grades,2016,20.72072029
01M064,P.S. 064 ROBERT SIMON,3,2015,20
01M064,P.S. 064 ROBERT SIMON,4,2015,15
01M064,P.S. 064 ROBERT SIMON,5,2015,5.405405521
01M064,P.S. 064 ROBERT SIMON,All Grades,2015,13.67521381
01M064,P.S. 064 ROBERT SIMON,3,2014,18.6046505
01M064,P.S. 064 ROBERT SIMON,4,2014,12.5
01M064,P.S. 064 ROBERT SIMON,5,2014,16.21621704
01M064,P.S. 064 ROBERT SIMON,All Grades,2014,16.0714283
01M064,P.S. 064 ROBERT SIMON,3,2013,10
01M064,P.S. 064 ROBERT SIMON,4,2013,4.878048897
01M064,P.S. 064 ROBERT SIMON,5,2013,20.5128212
01M064,P.S. 064 ROBERT SIMON,All Grades,2013,11.81818199
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2023,56.81818008
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2023,63.88888931
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2023,66.66666412
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2023,62.40000153
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2022,60
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2022,63.63636398
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2022,53.658535
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2022,59.20000076
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2019,70.83333588
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2019,80.95237732
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2019,62.9629631
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2019,70.83333588
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2018,80
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2018,77.19298553
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2018,68.11594391
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2018,74.26900482
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2017,69.49152374
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2017,72.22222137
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2017,65.95744324
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2017,69.66291809
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2016,62.9629631
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2016,59.18367386
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2016,41.53845978
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2016,54.87179565
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2015,44.89796066
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2015,42.1875
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2015,48.14814758
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2015,44.91017914
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2014,49.27536392
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2014,39.62264252
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2014,40
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2014,43.71257401
01M110,P.S. 110 FLORENCE NIGHTINGALE,3,2013,55.55555725
01M110,P.S. 110 FLORENCE NIGHTINGALE,4,2013,56.25
01M110,P.S. 110 FLORENCE NIGHTINGALE,5,2013,41.53845978
01M110,P.S. 110 FLORENCE NIGHTINGALE,All Grades,2013,50.29940033
01M134,P.S. 134 HENRIETTA SZOLD,3,2023,8
01M134,P.S. 134 HENRIETTA SZOLD,4,2023,25
01M134,P.S. 134 HENRIETTA SZOLD,5,2023,14.81481457
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2023,16.25
01M134,P.S. 134 HENRIETTA SZOLD,3,2022,25.8064518
01M134,P.S. 134 HENRIETTA SZOLD,4,2022,16
01M134,P.S. 134 HENRIETTA SZOLD,5,2022,28
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2022,23.45679092
01M134,P.S. 134 HENRIETTA SZOLD,3,2019,44.73684311
01M134,P.S. 134 HENRIETTA SZOLD,4,2019,44.68085098
01M134,P.S. 134 HENRIETTA SZOLD,5,2019,25.53191566
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2019,37.87878799
01M134,P.S. 134 HENRIETTA SZOLD,3,2018,42.55319214
01M134,P.S. 134 HENRIETTA SZOLD,4,2018,31.9148941
01M134,P.S. 134 HENRIETTA SZOLD,5,2018,18.36734772
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2018,30.76922989
01M134,P.S. 134 HENRIETTA SZOLD,3,2017,24
01M134,P.S. 134 HENRIETTA SZOLD,4,2017,20.83333397
01M134,P.S. 134 HENRIETTA SZOLD,5,2017,14.0625
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2017,19.13580322
