"Administrative District",Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
04,2020-21,12336,499,743,711,711,770,734,776,871,977,944,953,918,932,897,900,6428,0.521076500415802,5908,0.4789234697818756,,,1176,0.09533073753118515,2895,0.2346789836883545,7156,0.5800908207893372,224,0.018158236518502235,126,0.010214007459580898,630,0.051070038229227066,129,0.01045719813555479,2982,0.24173152446746826,1198,0.09711413830518723,10110,0.8195525407791138,0.8316657543182373
04,2021-22,11567,522,604,684,671,676,734,693,759,893,900,928,852,932,863,856,6026,0.5209648013114929,5541,0.4790351986885071,,,1065,0.09207227826118469,2759,0.23852337896823883,6715,0.5805308222770691,209,0.018068643286824226,109,0.009423359297215939,637,0.055070459842681885,73,0.006311057135462761,2907,0.25131839513778687,1175,0.10158208757638931,9359,0.8091121315956116,0.8177707195281982
04,2022-23,11339,504,605,611,645,656,674,707,711,795,858,913,1057,874,877,852,5809,0.5123026967048645,5526,0.48734456300735474,4,0.0003527647932060063,1072,0.09454096108675003,2687,0.2369697540998459,6485,0.5719199180603027,202,0.017814621329307556,106,0.009348266758024693,656,0.05785342678427696,131,0.011553047224879265,2895,0.255313515663147,1053,0.09286533296108246,9273,0.8177970051765442,0.8250985741615295
05,2018-19,11236,294,981,606,614,665,730,786,773,713,704,759,1004,967,853,787,5335,0.4748131036758423,5901,0.5251868963241577,,,387,0.03444286063313484,5482,0.48789605498313904,4397,0.39133143424987793,101,0.00898896437138319,103,0.009166963398456573,650,0.05784976854920387,116,0.010323958471417427,2774,0.2468850165605545,926,0.0824136734008789,9199,0.8187077045440674,0.8319318890571594
05,2019-20,10947,636,930,590,581,601,654,714,774,650,707,706,1002,829,773,800,5198,0.47483327984809875,5749,0.5251666903495789,,,380,0.03471270576119423,5213,0.4762035310268402,4269,0.3899698555469513,129,0.011784050613641739,103,0.00940897036343813,654,0.05974239483475685,199,0.01817849650979042,2679,0.2447245866060257,836,0.07636795192956924,8920,0.8148351311683655,0.8387733697891235
05,2020-21,9998,446,800,489,563,568,575,636,690,665,642,700,901,853,734,736,4656,0.4656931459903717,5342,0.5343068838119507,,,368,0.036807361990213394,4669,0.46699339151382446,3937,0.3937787413597107,149,0.014902980998158455,88,0.008801760151982307,634,0.06341268122196198,153,0.015303060412406921,2525,0.25255051255226135,792,0.07921583950519562,8114,0.8115622997283936,0.8332643508911133
05,2021-22,9341,507,696,488,500,569,531,546,607,581,632,620,817,799,746,702,4349,0.46558183431625366,4992,0.5344181656837463,,,350,0.03746922314167023,4345,0.46515363454818726,3677,0.39364093542099,115,0.012311316095292568,124,0.013274810276925564,638,0.06830103695392609,92,0.009849052876234055,2449,0.2621774971485138,729,0.07804303616285324,7509,0.8038753867149353,0.8243474960327148
05,2022-23,8656,443,644,459,485,510,546,487,532,501,560,603,743,737,659,747,3973,0.4589879810810089,4682,0.540896475315094,1,0.00011552680371096358,342,0.03951016813516617,4007,0.46291589736938477,3257,0.3762708008289337,133,0.015365065075457096,103,0.011899260804057121,651,0.07520794868469238,163,0.01883086934685707,2237,0.25843346118927,677,0.07821164280176163,6974,0.8056839108467102,0.8236846327781677
06,2018-19,21924,0,1715,1484,1551,1634,1713,1845,1601,1512,1580,1627,1618,1516,1133,1395,10763,0.4909231960773468,11161,0.5090768337249756,,,333,0.015188833698630333,1553,0.07083561271429062,18547,0.8459678888320923,160,0.007297938223928213,61,0.002782338997349143,1230,0.056102901697158813,40,0.0018244845559820533,4579,0.20885787904262543,5887,0.26851850748062134,18705,0.85317462682724,0.8361015319824219
06,2019-20,21698,837,1714,1403,1473,1484,1585,1689,1639,1432,1534,1608,1480,1428,1232,1160,10749,0.49539127945899963,10949,0.504608690738678,,,322,0.014840077608823776,1526,0.07032906264066696,17912,0.8255138993263245,209,0.009632224217057228,70,0.003226103726774454,1276,0.058807265013456345,383,0.017651395872235298,4508,0.20776107907295227,5191,0.23923863470554352,18099,0.834132194519043,0.8423596024513245
